Id,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류,시리즈_명
38282118,16,210,7,201411.0,2015,669.0,235912.0,7,2,0,2,2025-02-10 11:03:16+09:00,15,814,85부9455,1,2,2,225.458,78.4909,0,0,0.0,스타렉스,1.0
38294965,35,154,98,202009.0,2020,2690.0,85167.0,3,2,0,2,2025-02-10 11:56:43+09:00,2,1135,226너7070,1,0,1,3.3,0.0,1,0,0.0,그랜저,8.0
38953615,52,369,98,202309.0,2024,4290.0,27028.0,3,2,0,2,2025-02-10 11:57:48+09:00,1,3011,294주3368,1,0,1,69.15,0.0,0,0,0.0,싼타페,7.0
38999295,55,393,90,201907.0,2020,1880.0,141848.0,7,2,0,2,2025-02-10 14:20:34+09:00,5,856,65너4776,0,0,1,0.0,0.0,0,0,0.0,싼타페,7.0
39010038,16,199,23,201405.0,2015,1470.0,91842.0,7,2,0,2,2025-02-10 14:22:32+09:00,1,1588,70어6861,0,0,2,0.0,0.0,0,0,0.0,스타렉스,1.0
34782132,19,244,23,201106.0,2011,530.0,110000.0,3,2,0,2,2025-02-10 15:23:04+09:00,7,1030,45도4154,2,0,3,70.454,0.0,0,0,0.0,그랜저,8.0
38961522,55,393,106,201912.0,2020,3390.0,72000.0,7,2,0,1,2025-02-10 20:03:19+09:00,1,1030,116버7185,1,1,3,120.9488,40.0,0,0,0.0,싼타페,7.0
39017217,34,196,90,202102.0,2021,3850.0,102000.0,7,2,0,2,2025-02-11 11:25:57+09:00,5,1030,102주4265,0,0,1,0.0,0.0,0,0,0.0,스타렉스,1.0
39018488,90,393,106,202203.0,2022,3090.0,104428.0,7,2,0,2,2025-02-11 13:13:20+09:00,1,2075,132수8930,2,0,1,160.9599,0.0,0,0,0.0,팰리세이드,9.0
39019388,16,68,7,201401.0,2014,700.0,274173.0,0,2,0,2,2025-02-11 14:06:22+09:00,3,1030,70나4801,5,2,4,483.068,74.795,0,0,0.0,스타렉스,1.0
39020372,77,391,69,201606.0,2017,980.0,150000.0,7,2,0,2,2025-02-11 16:30:19+09:00,6,1645,16다0617,3,3,2,57.4383,69.961,0,0,0.0,투싼,4.0
39003982,69,48,0,201704.0,2018,850.0,106000.0,3,2,0,2,2025-02-11 19:58:19+09:00,1,1030,187오7978,5,4,2,828.592,762.9299,1,0,0.0,아반떼,2.0
39020340,26,461,23,202405.0,2024,3337.0,24000.0,6,2,0,0,2025-02-11 20:28:15+09:00,4,1030,221하6899,0,0,0,0.0,0.0,0,0,0.0,그랜저,8.0
38948615,64,82,50,202408.0,2025,2390.0,15504.0,1,2,0,2,2025-02-11 23:13:07+09:00,5,3586,235버6206,0,0,1,0.0,0.0,1,0,0.0,쏘나타,5.0
38278063,71,314,23,201103.0,2011,380.0,120000.0,3,2,0,2,2025-02-12 06:45:17+09:00,6,393,63로7360,1,1,5,95.378,30.953,0,0,0.0,아반떼,2.0
37535984,71,314,23,201107.0,2012,390.0,150000.0,3,2,0,2,2025-02-12 06:45:17+09:00,6,393,23주3440,3,2,2,153.282,426.7473,1,0,0.0,아반떼,2.0
39025008,22,454,74,201711.0,2018,1780.0,122319.0,6,2,0,2,2025-02-12 10:37:13+09:00,7,1848,06가3447,2,0,3,371.7977,0.0,0,0,0.0,그랜저,8.0
38991379,69,6,23,201701.0,2017,1390.0,30549.0,3,2,0,2,2025-02-12 11:22:06+09:00,8,3524,48루5782,1,3,1,41.993,179.862,0,0,0.0,아반떼,2.0
38187057,80,42,41,201710.0,2018,1450.0,62047.0,3,2,0,2,2025-02-12 13:11:25+09:00,6,1568,04보6877,1,0,2,131.8968,0.0,0,0,0.0,코나,3.0
38602908,89,456,23,202101.0,2021,2699.0,20400.0,6,2,0,2,2025-02-12 15:05:26+09:00,1,367,170마3386,0,2,2,0.0,234.6758,0,0,0.0,투싼,4.0
38701349,23,338,51,200509.0,2006,270.0,108701.0,3,2,0,2,2025-02-12 21:18:58+09:00,1,1774,08조2945,5,1,4,338.7195,41.13,0,0,0.0,그랜저,8.0
38697639,25,338,67,200901.0,2009,380.0,124638.0,3,2,0,2,2025-02-13 10:30:05+09:00,1,1774,67가4872,8,1,4,628.2953,95.6721,0,0,0.0,그랜저,8.0
38919295,39,4,41,202304.0,2024,1077.0,9200.0,3,2,0,0,2025-02-13 10:39:17+09:00,11,1030,175호5051,0,0,0,0.0,0.0,0,0,0.0,아반떼,2.0
38703407,62,304,23,201304.0,2013,490.0,199257.0,1,2,0,2,2025-02-13 10:53:02+09:00,13,774,315보9293,1,2,9,201.304,97.8956,2,0,0.0,쏘나타,5.0
39027290,52,232,98,202406.0,2024,3601.0,3470.0,6,2,0,0,2025-02-13 13:04:43+09:00,13,1030,224호4666,0,0,0,0.0,0.0,0,0,0.0,싼타페,7.0
39033907,57,81,62,202105.0,2021,1480.0,82630.0,1,2,0,2,2025-02-13 14:37:14+09:00,1,613,251가8370,1,0,1,105.667,0.0,1,0,0.0,쏘나타,5.0
39036216,77,391,41,201505.0,2016,1350.0,54223.0,7,2,0,2,2025-02-13 15:02:54+09:00,7,2830,11우6884,1,0,1,72.1308,0.0,0,0,0.0,투싼,4.0
39011271,22,467,23,201707.0,2018,1750.0,134000.0,6,2,0,2,2025-02-13 18:49:49+09:00,1,1030,12너5171,2,0,14,356.8649,0.0,0,0,0.0,그랜저,8.0
39039427,80,40,45,202004.0,2020,1790.0,29279.0,3,2,0,2,2025-02-13 19:53:11+09:00,1,3686,300구6242,1,1,0,42.725,17.64,0,0,0.0,코나,3.0
38973974,52,232,98,202401.0,2024,4200.0,20100.0,6,2,0,1,2025-02-14 08:44:05+09:00,1,1030,223주3540,0,0,0,0.0,0.0,0,0,0.0,싼타페,7.0
39041032,90,379,106,202110.0,2022,3017.0,62000.0,3,2,0,2,2025-02-14 09:35:37+09:00,12,1030,302러6846,0,0,0,0.0,0.0,0,0,0.0,팰리세이드,9.0
38655876,21,138,22,201804.0,2018,1490.0,143242.0,1,2,0,2,2025-02-14 10:38:49+09:00,16,3331,359저1152,3,1,5,524.8736,108.07,1,0,0.0,그랜저,8.0
38298746,80,40,47,201908.0,2019,1530.0,55317.0,3,2,0,2,2025-02-14 10:42:20+09:00,1,3667,28소8734,0,0,3,0.0,0.0,0,0,0.0,코나,3.0
38298772,17,70,23,199205.0,1992,690.0,307455.0,3,1,0,2,2025-02-14 10:43:20+09:00,1,3667,02주8317,1,1,2,37.903,86.9405,1,0,0.0,그랜저,8.0
38703471,19,244,23,201104.0,2011,390.0,197620.0,3,2,0,2,2025-02-14 11:21:17+09:00,2,2546,48다4654,4,5,2,522.1358,572.4489,1,0,0.0,그랜저,8.0
39045373,35,116,115,202101.0,2021,2280.0,76000.0,3,2,0,2,2025-02-14 15:52:37+09:00,7,307,367조9121,0,0,2,0.0,0.0,1,0,0.0,그랜저,8.0
