,Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류
11732,39117961,현대,더 뉴 코나,가솔린 1.6 터보 4WD,모던,202102.0,2021,1650.0,118892.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:56:11.000 +09,경기,(주)왕카,137우9433,1,3,1,203.7817,163.3235,1,0,,코나
12883,37506960,현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,201905.0,2019,1440.0,108945.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:00:19.000 +09,인천,정우모터스(주),91거5514,5,0,2,329.435,0.0,0,0,,스타렉스
26381,39100826,현대,더 뉴 그랜저 IG 하이브리드,캘리그래피,,202004.0,2020,3300.0,59103.0,가솔린+전기,오토,ORIGINAL,일반,2025-02-26 09:18:21.000 +09,전남,태산모터스,163서9259,2,0,1,106.188,0.0,0,0,,그랜저
20439,39163357,현대,그랜저 하이브리드 (GN7),캘리그래피,,202308.0,2023,4450.0,13619.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-20 08:56:18.000 +09,인천,재경자동차,140거8908,0,0,2,0.0,0.0,0,0,,그랜저
29537,39244142,현대,아반떼 AD,1.6 GDI 밸류 플러스,,201704.0,2018,1130.0,103850.0,가솔린,오토,ORIGINAL,일반,2025-03-20 11:40:05.000 +09,대전,(주)영진모터스,13부7274,3,0,1,202.7446,0.0,0,0,,아반떼
11776,39149373,현대,코나,1.6 터보 2WD,모던 아트,201803.0,2018,1450.0,97227.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:50:14.000 +09,서울,(주)프라임모터스,216러7076,0,1,1,0.0,53.5468,1,0,,코나
20768,39095015,현대,더 뉴 그랜저 IG,2.5,르블랑,202112.0,2022,2520.0,77564.0,가솔린,오토,ORIGINAL,일반,2025-03-20 08:19:38.000 +09,경기,(주)플레이카,260보8439,1,0,1,40.756,0.0,1,0,,그랜저
7466,38835001,현대,스타리아,카고 3인승,모던,202306.0,2023,2830.0,33474.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:30:17.000 +09,대구,오토플러스(주),843거9181,0,0,0,0.0,0.0,0,0,,스타리아
19205,39135649,제네시스,GV80,2.5T 가솔린 AWD,(세부등급 없음),202302.0,2023,6575.0,30111.0,가솔린,오토,ORIGINAL,일반,2025-03-19 20:42:33.000 +09,대구,BM모터스,147라2992,0,0,0,0.0,0.0,0,0,,제네시스
24048,39153843,현대,그랜저 IG 하이브리드,익스클루시브,스페셜,201804.0,2018,2130.0,97171.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 21:40:08.000 +09,경기,제이원모터스,54주1578,3,0,2,222.36,0.0,0,0,,그랜저
18706,39161494,제네시스,GV80,2.5T 가솔린 AWD,(세부등급 없음),202304.0,2023,6795.0,52695.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:05:29.000 +09,대구,에이스모터스,198저8660,0,0,0,0.0,0.0,0,0,,제네시스
21636,39229341,현대,그랜저 (GN7),2.5 가솔린 2WD,캘리그래피,202301.0,2023,3899.0,16637.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:56:14.000 +09,경기,세계자동차,105노4287,0,0,1,0.0,0.0,0,0,,그랜저
27869,39216473,현대,더 뉴 아반떼 AD,1.6,스마트 초이스,202003.0,2020,1020.0,121217.0,가솔린,오토,ORIGINAL,일반,2025-03-20 13:50:11.000 +09,인천,한결모터스,193구3012,0,0,2,0.0,0.0,1,0,,아반떼
9947,39158525,현대,싼타페 (MX5),가솔린 2.5T 2WD,캘리그래피,202310.0,2024,4380.0,7266.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:38:03.000 +09,경기,(주)준모터스,123어6566,0,0,0,0.0,0.0,0,0,,싼타페
8133,38814671,현대,스타리아,L3.5 어린이보호차,11인승,202212.0,2023,3290.0,27081.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-19 21:46:54.000 +09,경기,(주)오토엠,729루7755,1,0,1,395.0208,0.0,0,0,,스타리아
17833,38561895,제네시스,G90,3.8 AWD,럭셔리,201908.0,2019,3750.0,80277.0,가솔린,오토,ORIGINAL,일반,2025-03-20 08:08:33.000 +09,광주,(주)123모터스,238어5651,0,0,1,0.0,0.0,1,0,,제네시스
26053,39180549,현대,그랜저 하이브리드 (GN7),캘리그래피,,202303.0,2023,3980.0,69829.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-18 14:47:45.000 +09,경기,알차,179노9207,1,0,1,131.649,0.0,0,0,,그랜저
